"station_id","year","total_frequency","total_ridership","latitude","longitude"
40780,2015,24125,425670,41.853839,-87.714842
40780,2016,24187,384087,41.853839,-87.714842
40780,2017,24113,361410,41.853839,-87.714842
40780,2018,24125,361988,41.853839,-87.714842
40780,2019,24125,343146,41.853839,-87.714842
40780,2020,24194,165239,41.853839,-87.714842
40780,2021,24113,161323,41.853839,-87.714842
40780,2022,24130,192451,41.853839,-87.714842
40780,2023,11978,98802,41.853839,-87.714842
40800,2012,52499,2600070,41.910409,-87.639302
40800,2013,52499,2527760,41.910409,-87.639302
40800,2014,52499,2495618,41.910409,-87.639302
40800,2015,52499,2303328,41.910409,-87.639302
40800,2016,52614,2508438,41.910409,-87.639302
40800,2017,52443,2428484,41.910409,-87.639302
40800,2018,52499,2367740,41.910409,-87.639302
40800,2019,52499,2320514,41.910409,-87.639302
40800,2020,52658,726658,41.910409,-87.639302
40800,2021,52443,932372,41.910409,-87.639302
40800,2022,52511,1353484,41.910409,-87.639302
40800,2023,26111,731666,41.910409,-87.639302
40820,2012,29097,1728136,41.983507,-87.859388
40820,2013,29097,1893723,41.983507,-87.859388
40820,2014,29097,2090977,41.983507,-87.859388
40820,2015,29097,2106653,41.983507,-87.859388
40820,2016,29161,2062702,41.983507,-87.859388
40820,2017,29061,2031418,41.983507,-87.859388
40820,2018,29097,2053166,41.983507,-87.859388
40820,2019,29097,1968273,41.983507,-87.859388
40820,2020,29186,709783,41.983507,-87.859388
40820,2021,29061,757001,41.983507,-87.859388
40820,2022,29108,987422,41.983507,-87.859388
40820,2023,14476,492840,41.983507,-87.859388
40830,2012,3364,52824,41.857908,-87.669147
40830,2013,3364,55654,41.857908,-87.669147
40830,2014,3364,60744,41.857908,-87.669147
40830,2015,3364,62799,41.857908,-87.669147
40830,2016,3364,58914,41.857908,-87.669147
40830,2017,3422,58302,41.857908,-87.669147
40830,2018,3364,51970,41.857908,-87.669147
40830,2019,3364,46129,41.857908,-87.669147
40830,2020,3364,20921,41.857908,-87.669147
40830,2021,3422,33547,41.857908,-87.669147
40830,2022,3306,39343,41.857908,-87.669147
40830,2023,1624,19805,41.857908,-87.669147
40870,2012,28332,453461,41.966046,-87.701644
40870,2013,28332,478809,41.966046,-87.701644
40870,2014,28332,475032,41.966046,-87.701644
40870,2015,28332,478282,41.966046,-87.701644
40870,2016,28396,501852,41.966046,-87.701644
40870,2017,28299,507580,41.966046,-87.701644
40870,2018,28332,499234,41.966046,-87.701644
40870,2019,28332,489000,41.966046,-87.701644
40870,2020,28418,159792,41.966046,-87.701644
40870,2021,28299,171621,41.966046,-87.701644
40870,2022,28343,233501,41.966046,-87.701644
40870,2023,14092,132053,41.966046,-87.701644
40880,2012,33732,868916,41.990259,-87.659076
40880,2013,33732,953569,41.990259,-87.659076
40880,2014,33732,994768,41.990259,-87.659076
40880,2015,33732,1013867,41.990259,-87.659076
40880,2016,33810,1022049,41.990259,-87.659076
40880,2017,33704,992142,41.990259,-87.659076
40880,2018,33732,973663,41.990259,-87.659076
40880,2019,33732,930062,41.990259,-87.659076
40880,2020,33832,307788,41.990259,-87.659076
40880,2021,33704,340467,41.990259,-87.659076
40880,2022,33738,427304,41.990259,-87.659076
40880,2023,16766,237529,41.990259,-87.659076
40900,2012,78409,6450642,42.019063,-87.672892
40900,2013,78409,6199365,42.019063,-87.672892
40900,2014,78409,6131142,42.019063,-87.672892
40900,2015,78409,6627930,42.019063,-87.672892
40900,2016,78590,5715321,42.019063,-87.672892
40900,2017,78352,5534616,42.019063,-87.672892
40900,2018,78409,5231040,42.019063,-87.672892
40900,2019,78409,4952427,42.019063,-87.672892
40900,2020,78640,2286900,42.019063,-87.672892
40900,2021,78352,2172285,42.019063,-87.672892
40900,2022,78416,2506710,42.019063,-87.672892
40900,2023,38965,1395156,42.019063,-87.672892
40990,2012,33732,1878023,41.768367,-87.625724
40990,2013,30988,932660,41.768367,-87.625724
40990,2014,33732,1800001,41.768367,-87.625724
40990,2015,33732,1870456,41.768367,-87.625724
40990,2016,33810,1780101,41.768367,-87.625724
40990,2017,33704,1665318,41.768367,-87.625724
40990,2018,33732,1564203,41.768367,-87.625724
40990,2019,33732,1423925,41.768367,-87.625724
40990,2020,33832,682175,41.768367,-87.625724
40990,2021,33704,593031,41.768367,-87.625724
40990,2022,33738,627587,41.768367,-87.625724
40990,2023,16766,315070,41.768367,-87.625724
41000,2012,33732,1609171,41.853206,-87.630968
41000,2013,30988,823799,41.853206,-87.630968
41000,2014,33732,1567588,41.853206,-87.630968
41000,2015,33732,1547817,41.853206,-87.630968
41000,2016,33810,1549250,41.853206,-87.630968
41000,2017,33704,1509607,41.853206,-87.630968
41000,2018,33732,1459134,41.853206,-87.630968
41000,2019,33732,1456259,41.853206,-87.630968
41000,2020,33832,444746,41.853206,-87.630968
41000,2021,33704,650972,41.853206,-87.630968
41000,2022,33738,874515,41.853206,-87.630968
41000,2023,16766,448015,41.853206,-87.630968
41010,2012,28332,538658,41.966115,-87.6941
41010,2013,28332,568564,41.966115,-87.6941
41010,2014,28332,575749,41.966115,-87.6941
41010,2015,28332,564549,41.966115,-87.6941
41010,2016,28396,578639,41.966115,-87.6941
41010,2017,28299,561690,41.966115,-87.6941
41010,2018,28332,523114,41.966115,-87.6941
41010,2019,28332,532671,41.966115,-87.6941
41010,2020,28418,164282,41.966115,-87.6941
41010,2021,28299,162803,41.966115,-87.6941
41010,2022,28343,241429,41.966115,-87.6941
41010,2023,14092,137977,41.966115,-87.6941
41020,2012,29097,2092199,41.929728,-87.708541
41020,2013,29097,2199436,41.929728,-87.708541
41020,2014,29097,2285653,41.929728,-87.708541
41020,2015,29097,2315219,41.929728,-87.708541
41020,2016,29161,2301150,41.929728,-87.708541
41020,2017,29061,2261071,41.929728,-87.708541
41020,2018,29097,2312036,41.929728,-87.708541
41020,2019,29097,2261714,41.929728,-87.708541
41020,2020,29186,700242,41.929728,-87.708541
41020,2021,29061,738118,41.929728,-87.708541
41020,2022,29108,1023332,41.929728,-87.708541
41020,2023,14476,515584,41.929728,-87.708541
41030,2012,23928,950670,41.871551,-87.66953
41030,2013,23928,942505,41.871551,-87.66953
41030,2014,23928,957736,41.871551,-87.66953
41030,2015,23928,993972,41.871551,-87.66953
41030,2016,23990,928561,41.871551,-87.66953
41030,2017,23918,893334,41.871551,-87.66953
41030,2018,23928,898021,41.871551,-87.66953
41030,2019,23928,869191,41.871551,-87.66953
41030,2020,23996,373443,41.871551,-87.66953
41030,2021,23918,419554,41.871551,-87.66953
41030,2022,23932,505310,41.871551,-87.66953
41030,2023,11878,268921,41.871551,-87.66953
41050,2012,24277,310429,42.073153,-87.69073
41050,2013,24277,288998,42.073153,-87.69073
41050,2014,24277,291913,42.073153,-87.69073
41050,2015,24277,321298,42.073153,-87.69073
41050,2016,24329,320894,42.073153,-87.69073
41050,2017,24255,311242,42.073153,-87.69073
41050,2018,24277,304296,42.073153,-87.69073
41050,2019,24277,296321,42.073153,-87.69073
41050,2020,24350,89189,42.073153,-87.69073
41050,2021,24255,106402,42.073153,-87.69073
41050,2022,24278,128920,42.073153,-87.69073
41050,2023,12072,72341,42.073153,-87.69073
41140,2012,22120,208701,41.78013,-87.615546
41140,2013,22120,282132,41.78013,-87.615546
41140,2014,22120,213742,41.78013,-87.615546
41140,2015,22120,211184,41.78013,-87.615546
